rate_id,rate_date,from_currency,to_currency,exchange_rate,created_at
1,2022-01-01,USD,EUR,0.882985,2026-03-01 20:26:44
2,2022-01-02,USD,EUR,0.889179,2026-03-01 20:26:44
3,2022-01-03,USD,EUR,0.884628,2026-03-01 20:26:44
4,2022-01-04,USD,EUR,0.886448,2026-03-01 20:26:44
5,2022-01-05,USD,EUR,0.884332,2026-03-01 20:26:44
6,2022-01-06,USD,EUR,0.882749,2026-03-01 20:26:44
7,2022-01-07,USD,EUR,0.880829,2026-03-01 20:26:44
8,2022-01-08,USD,EUR,0.878039,2026-03-01 20:26:44
9,2022-01-09,USD,EUR,0.878189,2026-03-01 20:26:44
10,2022-01-10,USD,EUR,0.875514,2026-03-01 20:26:44
11,2022-01-11,USD,EUR,0.876376,2026-03-01 20:26:44
12,2022-01-12,USD,EUR,0.876209,2026-03-01 20:26:44
13,2022-01-13,USD,EUR,0.875436,2026-03-01 20:26:44
14,2022-01-14,USD,EUR,0.872524,2026-03-01 20:26:44
15,2022-01-15,USD,EUR,0.870676,2026-03-01 20:26:44
16,2022-01-16,USD,EUR,0.873084,2026-03-01 20:26:44
17,2022-01-17,USD,EUR,0.874682,2026-03-01 20:26:44
18,2022-01-18,USD,EUR,0.871548,2026-03-01 20:26:44
19,2022-01-19,USD,EUR,0.87186,2026-03-01 20:26:44
20,2022-01-20,USD,EUR,0.874258,2026-03-01 20:26:44
21,2022-01-21,USD,EUR,0.868921,2026-03-01 20:26:44
22,2022-01-22,USD,EUR,0.870646,2026-03-01 20:26:44
23,2022-01-23,USD,EUR,0.868529,2026-03-01 20:26:44
24,2022-01-24,USD,EUR,0.870341,2026-03-01 20:26:44
25,2022-01-25,USD,EUR,0.867905,2026-03-01 20:26:44
26,2022-01-26,USD,EUR,0.862178,2026-03-01 20:26:44
27,2022-01-27,USD,EUR,0.857047,2026-03-01 20:26:44
28,2022-01-28,USD,EUR,0.857192,2026-03-01 20:26:44
29,2022-01-29,USD,EUR,0.858002,2026-03-01 20:26:44
30,2022-01-30,USD,EUR,0.855158,2026-03-01 20:26:44
31,2022-01-31,USD,EUR,0.857156,2026-03-01 20:26:44
32,2022-02-01,USD,EUR,0.851948,2026-03-01 20:26:44
33,2022-02-02,USD,EUR,0.851736,2026-03-01 20:26:44
34,2022-02-03,USD,EUR,0.847959,2026-03-01 20:26:44
35,2022-02-04,USD,EUR,0.845931,2026-03-01 20:26:44
36,2022-02-05,USD,EUR,0.846072,2026-03-01 20:26:44
37,2022-02-06,USD,EUR,0.843403,2026-03-01 20:26:44
38,2022-02-07,USD,EUR,0.84221,2026-03-01 20:26:44
39,2022-02-08,USD,EUR,0.845315,2026-03-01 20:26:44
40,2022-02-09,USD,EUR,0.843525,2026-03-01 20:26:44
41,2022-02-10,USD,EUR,0.846106,2026-03-01 20:26:44
42,2022-02-11,USD,EUR,0.842605,2026-03-01 20:26:44
43,2022-02-12,USD,EUR,0.844237,2026-03-01 20:26:44
44,2022-02-13,USD,EUR,0.848702,2026-03-01 20:26:44
45,2022-02-14,USD,EUR,0.841045,2026-03-01 20:26:44
46,2022-02-15,USD,EUR,0.838588,2026-03-01 20:26:44
47,2022-02-16,USD,EUR,0.840357,2026-03-01 20:26:44
48,2022-02-17,USD,EUR,0.839726,2026-03-01 20:26:44
49,2022-02-18,USD,EUR,0.840863,2026-03-01 20:26:44
50,2022-02-19,USD,EUR,0.838999,2026-03-01 20:26:44
